id,type,id_name,follower_tsd,Hauptmedium,Umsatz,Standort,Geschlecht
292,3,verena_steigner,36,instagram,0,Deutschland,2
293,3,conny_schlling_,15,instagram,0,NA,1
294,3,rebecca_leticia,2,instagram,0,Deutschland,2
295,3,lisa_mieschke,104,instagram,0,UAE,2
296,3,vflbochum,161,instagram,0,NA,0
297,3,srah_trpn,4,instagram,0,Deutschland,2
298,3,g_deissi,1,instagram,0,NA,2
299,3,selinacerci,137,instagram,0,Deutschland,2
300,3,giuliagoesfit,239,instagram,0,NA,2
301,3,mai_lan,115,instagram,0,Frankreich,2
302,3,aliciasmd,5600,instagram,0,Deutschland,2
303,3,vanessastehler,108,instagram,0,Deutschland,2
304,3,juliette_xr,134,instagram,0,NA,2
305,3,robin_raww,205,instagram,0,Deutschland,1
306,3,lenaajoy,501,instagram,0,Deutschland,2
307,3,julia_reppel,114,instagram,0,NA,2
308,3,philipp_stehler,253,instagram,0,Deutschland,1
309,3,fitness_kaykay,405,instagram,0,NA,2
310,3,anniju_,607,instagram,0,Deutschland,2
311,3,adrienne_kolezar,496,instagram,0,NA,2
312,3,piitn_,100,instagram,0,Deutschland,2
313,3,rebbsssssss,31,instagram,0,Italien,2
314,3,p_gallucci,53,instagram,0,Italien,1
315,3,steffi_hns,179,instagram,0,NA,2
316,3,thefashionjogger,2600,instagram,0,NA,2
317,3,matteorestivo,65,instagram,0,Italien,1
318,3,james_middleton_,790,instagram,0,Vereintes Koenigreich,1
319,3,sophiasky_,171,instagram,0,NA,2
320,3,bellehutt,63,instagram,0,NA,2
321,3,juliusise,184,instagram,0,Deutschland,2
322,3,trainhard_eatwell,126,instagram,0,Deutschland,2
323,3,emi_dtr,151,instagram,0,Frankreich,2
324,3,ornella_nicolosi,595,instagram,0,Frankreich,2
325,3,healthywidy,49,instagram,0,Spanien,2
326,3,petit_fit,1100,instagram,0,Spanien,2
327,3,alizouTWOb,281,instagram,0,Frankreich,2
328,3,patrickdossantosaveiro,179,instagram,0,NA,1
329,3,soysupersara,424,instagram,0,Spanien,2
330,3,cuoriveggie,395,instagram,0,Italien,2
331,3,lorenayessir,72,instagram,0,Austria,2
332,3,michellemisayo,4,instagram,0,NA,2
333,3,martinmichelius,186,instagram,0,NA,1
334,3,marylu_ly,86,instagram,0,NA,2
335,3,lefloid,802,instagram,0,Deutschland,1
336,3,powlster_,45,instagram,0,Deutschland,1
337,3,derollikanal,50,instagram,0,Deutschland,1
338,3,danielamonida,168,instagram,0,NA,2
339,3,angelo_carlucci,912,instagram,0,Deutschland,1
340,3,onlylennard,200,instagram,0,NA,1
341,3,carol_enrico,51,instagram,0,Italien,2
342,3,ChristianWolf,64,youtube,0,Deutschland,2
343,3,fitaudreyy,13,youtube,0,Deuschland,2
344,3,sallysfoodrista,4,youtube,0,Deutschland,2
345,3,EvaSaischegg,15,youtube,0,Deutschland,2
346,3,fitmitbjarne,8,youtube,0,Deutschland,2
347,3,abbiedennisonfit,535,instagram,0,Vereintes Koenigreich,2
348,3,lottiealicelamb,631,instagram,0,Vereintes Koenigreich,2
349,3,lb_fitt,21,instagram,0,Vereintes Koenigreich,1
350,3,lukefithyrox,24,instagram,0,Deutschland,1
351,3,rivafittness,278,instagram,0,Vereintes Koenigreich,2
352,3,rdlfit_,18,instagram,0,Vereintes Koenigreich,1
353,3,healthyish_anna,74,instagram,0,Vereintes Koenigreich,2
354,3,carina_runs,10,instagram,0,Deutschland,2
355,3,fitbysashae,30,instagram,0,Vereintes Koenigreich,2
356,3,sydgrows,432,instagram,0,Vereintes Koenigreich,2
357,3,jess_a_macdonald,5,instagram,0,Vereintes Koenigreich,2
358,3,alexander_roncevic,63,instagram,0,Oesterreich,1
359,3,spen_fitness,35,instagram,0,Vereintes Koenigreich,2
360,3,lindaaa_jm,6,instagram,0,Deutschland,2
361,3,jannik_czapla_NEUNNEUN,6,instagram,0,Deutschland,1
362,3,jakewilliamson,169,instagram,0,Vereintes Koenigreich,1
363,3,mjacOby,52,instagram,0,Vereintes Koenigreich,2
364,3,coach_phod,117,instagram,0,Vereintes Koenigreich,1
365,3,kaihbfit,13,instagram,0,Vereintes Koenigreich,1
366,3,lilyewenfitness,94,instagram,0,Vereintes Koenigreich,2
367,3,empearsonfitness,36,instagram,0,Vereintes Koenigreich,2
368,3,sarahholden_fit,658,instagram,0,Vereintes Koenigreich,2
368,3,isabelllewis,99,instagram,0,Vereintes Koenigreich,2
369,3,coachedbyzara,8,instagram,0,Vereintes Koenigreich,2
370,3,LisaMaiswinkel,3,youtube,0,Deutschland,2
371,3,yakiv_gubariev,14,youtube,0,Deutschland,1
372,3,figurmacher_andreas_scholz,13,instagram,0,Deutschland,1
373,3,Weird_FlexNULLDREINULL,192,youtube,0,Deutschland,1
374,3,MisFitMelo,2,youtube,0,Deutschland,1
375,3,Coach Stef,553,youtube,0,Deutschland,1
376,3,Fitness Food Corner,49,youtube,0,Deutschland,1
377,3,niklas_niebiossa,0,instagram,0,Deutschland,1
378,3,burakkkr_boerek,2,youtube,0,Deutschland,1
379,3,Johannes Luckas,384,youtube,0,Deutschland,1
380,3,Justin Musiol,22,youtube,0,Deutschland,1
381,3,FoodLoaf,34,youtube,0,Deutschland,1
382,3,Muskelmacher Shop,17,youtube,0,Deutschland,1
383,3,fitaudreyy,235,tiktok,0,Deutschland,2
384,3,muellermario,894,tiktok,0,Deutschland,1
385,3,lea_ttttt,45,tiktok,0,Deutschland,2
386,3,svenja_ti,136,tiktok,0,Deutschland,2
387,3,christian_wolf,688,tiktok,0,Deutschland,1
388,3,jessicacarolinbock,227,tiktok,0,Deutschland,2
389,3,llauraabe,32,tiktok,0,Deutschland,2
390,3,justphilstragram,157,tiktok,0,Deutschland,1
391,3,justphilstagram,117,instagram,0,Deutschland,1
392,3,helloatakan,708,tiktok,0,Deutschland,1
393,3,julkaxift,27,tiktok,0,Deutschland,2
394,3,fitgiant_sophie,47,tiktok,0,Deutschland,2
395,3,fitgiant_sophie_,60,instagram,0,Deutschland,2
396,3,laraemiliaaa,45,tiktok,0,Deutschland,2
397,3,laraemilia,100,instagram,0,Deutschland,2
398,3,anabelundmaria,655,tiktok,0,Deutschland,2
399,3,evasaischegg,36,tiktok,0,Schweiz,2
400,3,yakiv_gubariev,304,tiktok,0,Deutschland,1
401,3,salka_fit,48,tiktok,0,Deutschland,2
402,3,lea_tntw,7,instagram,0,Deutschland,2
403,3,lenaknk,13,instagram,0,Deutschland,2
404,3,chris_curtis_,617,instagram,0,Deutschland,1
405,3,frankys_rettfit,651,tiktok,0,Deutschland,2
406,3,frankys_rettfit_,166,instagram,0,Deutschland,2
407,1,Creator_Connect,0,NA,0,Deutschland,0
408,3,lilly_rxb,113,tiktok,0,Deutschland,2
409,3,vicces,19,tiktok,0,Deutschland,2
410,3,vicces_,100,instagram,0,Deutschland,2
411,3,lars_jur_fit,12,tiktok,0,Deutschland,1
412,3,lars_jur,16,instagram,0,Deutschland,1
